genre,duration,cast_popularity,director_experience,budget_million_usd,language,release_season,marketing_million_usd,sequel,rating
Romance,105,8.09734776872196,15,59.14792404680972,English,Off-Season,36.87227179273742,0,4.826265942445446
Comedy,128,5.77602997427116,24,219.4721336562217,English,Summer,1.2750822949828473,0,4.1712890101934335
Fantasy,130,3.9123119364629324,13,162.44002735641135,Spanish,Winter,1.6832603784044506,1,4.040068119782279
Thriller,126,5.285974216053217,24,193.96321598152815,Spanish,Summer,7.957660753180211,0,3.434951009588763
Thriller,122,9.15487960760054,17,52.48429058762537,Hindi,Off-Season,47.097954744004845,1,5.4995691936792594
Romance,93,3.676436581908627,20,77.9277740324765,Korean,Summer,6.009654978956117,1,2.9715572484548503
Comedy,125,1.7769162956791926,20,19.991965934881406,English,Winter,21.965381269610845,0,2.3413232581845835
Fantasy,106,9.134824613477466,6,126.96416666212133,English,Off-Season,16.517561369543238,0,4.835138067369352
Action,125,2.0620362742156733,21,46.28546275592921,French,Winter,49.15671347640464,1,4.454306327286677
Comedy,133,3.0783699183069464,2,99.0325467147703,French,Off-Season,6.83952846904581,1,2.5979405765511214
Fantasy,112,5.317226451679199,8,150.678725106242,Korean,Off-Season,37.656559299057776,1,3.289505264335104
Drama,106,8.018719245289137,27,229.12157172510746,Korean,Off-Season,19.6354625868198,0,5.14803411730389
Drama,142,9.797866564611216,30,221.91497587825853,Spanish,Winter,43.74609274799484,0,6.499607971251879
Action,131,2.6814679789858813,32,162.61400175538515,Korean,Off-Season,25.352495400635014,0,3.4347104138732023
Fantasy,113,3.0922815246719635,17,12.205039496680671,Spanish,Festive,17.462754537236467,0,3.00687974305896
Romance,70,9.965274800385746,31,194.00738779551475,Hindi,Festive,46.5696360632128,0,7.158989327200321
Action,124,6.065088933902154,9,128.127866712039,English,Winter,48.23968658765464,0,4.128513878246954
Romance,136,8.755454121286437,28,94.77459308994653,Hindi,Off-Season,34.0309756853175,0,5.369601319441302
Action,145,4.289699827203489,18,228.85600627292283,Spanish,Summer,35.052843813301344,0,4.362537544937617
Thriller,112,3.609981712792903,25,92.52366461985656,Korean,Festive,9.829677050617558,0,3.304965469923382
Drama,113,8.875147804658965,33,204.31195895953286,French,Winter,4.057387955745391,0,5.005877089122132
Fantasy,117,2.860093864369593,24,201.74924770007854,French,Off-Season,32.007139274515055,1,3.462810923443808
Thriller,140,3.3884433923797648,22,100.21047330672671,French,Summer,21.418264637977032,0,3.3055545339277512
Romance,103,4.315872130457793,14,146.6150229506175,Hindi,Summer,25.485011079405968,0,2.2508443625850436
Romance,122,4.015441404715522,29,175.4951252611668,English,Off-Season,41.46465250682179,0,4.199271694102984
Sci-Fi,108,2.4984532023181782,3,85.90043558383462,Spanish,Summer,23.95525693508952,0,2.571211002727179
Action,129,3.607566156483927,12,97.72392887655934,Hindi,Winter,43.15849612662899,1,3.261220011680109
Action,97,2.559859278202957,29,181.0032740376368,Korean,Summer,20.232598239253065,1,3.4499950998531066
Sci-Fi,131,5.79383596474694,16,172.5098466926393,Korean,Festive,45.64776739999143,0,3.0273146925005747
Action,116,7.251107121502074,25,185.2075660781601,Spanish,Festive,25.86353646487149,0,4.350689318701206
Thriller,120,5.64145488176929,13,99.23974249311334,Spanish,Festive,14.078950098101016,1,5.326972590972657
Sci-Fi,134,1.6359953311947955,28,63.18289558115315,Hindi,Off-Season,10.989042471930368,0,2.5666066408064303
Action,145,6.312965457566171,6,106.0927339963478,Korean,Winter,4.908796941388425,0,3.535475670756149
Drama,94,7.416162136954181,10,244.35442837861126,English,Summer,35.488437921364856,1,5.851796170365848
Action,143,2.591377982951041,33,143.1906944484343,Hindi,Festive,16.713477115437207,0,3.1813410088852985
Comedy,135,5.360035934709895,19,173.83813669807404,Hindi,Winter,17.80854768909604,1,4.97535128722459
Fantasy,119,9.736797545763288,12,75.30486379329109,Hindi,Festive,33.154204290724216,0,5.072765712226784
Fantasy,150,8.443749243969833,21,200.34495747557906,Korean,Winter,49.33721972429426,0,4.8762752564167755
Romance,128,5.103087653187792,12,227.7901823257994,Spanish,Off-Season,21.57472732833712,0,3.426793746758893
Fantasy,148,3.3316748328134977,2,218.81334909414014,Korean,Off-Season,17.121574747444324,0,3.2414211747374124
Comedy,114,2.442366018206561,15,93.44051567525338,Korean,Off-Season,26.51709853661329,1,3.3164004353407543
Thriller,109,1.4125097586812456,12,58.513089611367064,Spanish,Festive,9.658537203589026,0,1.2843170616167918
Thriller,147,3.109504459828721,7,152.21229500843526,Korean,Summer,26.420590191509035,0,2.448561592938758
Action,163,5.395259046554998,11,146.34807828874366,Hindi,Winter,42.866376710526005,0,4.719031127722509
